,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Gmina Jędrzejów,50.64,20.3,64.99,80,100,1.99,PL,1595823562
280,Tres Arroyos,-38.37,-60.28,48.52,52,97,15.12,AR,1595823562
281,Gatehouse of Fleet,54.88,-4.18,57.0,95,100,5.01,GB,1595823562
282,Dorobanţu,44.22,26.95,70.0,69,14,3.0,RO,1595823562
283,Suntar,62.14,117.63,71.94,49,82,4.99,RU,1595823563
284,Pāvilosta,56.89,21.19,64.4,93,85,2.24,LV,1595823563
285,Evensk,61.95,159.23,55.24,83,95,12.28,RU,1595823563
286,Nanortalik,60.14,-45.24,42.84,87,9,2.82,GL,1595823563
287,Kasongo-Lunda,-6.47,16.82,63.86,46,93,1.07,CD,1595823563
288,Tianmen,30.65,113.16,81.81,74,75,4.88,CN,1595823564
289,Yel'nya,54.58,33.18,62.69,96,100,4.65,RU,1595823564
290,Abhā,18.22,42.51,66.2,88,88,11.61,SA,1595823564
291,Charleston,32.78,-79.93,81.0,88,1,3.49,US,1595823412
292,Faya,18.39,42.45,66.2,88,93,10.8,SA,1595823564
293,Guangyuan,32.44,105.82,91.0,68,38,2.64,CN,1595823564
294,Pisco,-13.7,-76.22,60.8,82,90,9.17,PE,1595823565
295,São Francisco,-15.95,-44.86,65.17,80,0,4.63,BR,1595823565
296,Bicester,51.9,-1.15,57.99,95,100,13.11,GB,1595823565
297,Carnarvon,-24.87,113.63,71.6,40,0,5.82,AU,1595823565
298,Guane,22.2,-84.09,79.57,88,100,5.91,CU,1595823565
299,Husavik,66.04,-17.34,42.8,87,90,4.7,IS,1595823566
300,San Antonio,29.42,-98.49,81.0,83,40,8.05,US,1595823379
301,Vanimo,-2.67,141.3,85.1,67,86,9.04,PG,1595823566
302,Belém,-1.46,-48.5,78.8,88,4,6.93,BR,1595823328
303,Saint Anthony,45.02,-93.22,73.4,56,1,10.29,US,1595823566
304,Yeppoon,-23.13,150.73,71.6,30,0,11.41,AU,1595823566
305,Barvinkove,48.91,37.02,70.79,51,94,11.01,UA,1595823567
306,Morro Bay,35.37,-120.85,61.0,89,10,3.02,US,1595823567
307,Coyhaique,-45.58,-72.07,32.0,94,23,3.36,CL,1595823274
308,Souillac,-20.52,57.52,71.6,73,75,14.99,MU,1595823469
309,Half Moon Bay,37.46,-122.43,64.99,93,90,4.7,US,1595823568
310,Arvin,35.21,-118.83,90.0,31,0,5.01,US,1595823568
311,Gáldar,28.15,-15.65,71.6,73,75,25.28,ES,1595823568
312,Toamasina,-18.17,49.38,66.2,88,75,9.17,MG,1595823568
313,Eskil,38.4,33.41,71.38,50,0,8.43,TR,1595823569
314,Tawao,4.25,117.89,84.2,79,20,8.05,MY,1595823569
315,Mayumba,-3.43,10.66,71.06,86,86,3.4,GA,1595823569
316,Luanshya,-13.14,28.42,45.61,85,5,4.61,ZM,1595823569
317,Oranjemund,-28.55,16.43,54.28,86,0,6.82,NA,1595823569
318,Beloha,-25.17,45.05,55.94,85,0,4.92,MG,1595823569
319,Kārkala,13.2,74.98,80.6,88,40,3.36,IN,1595823570
320,Menongue,-14.66,17.69,45.99,68,36,4.92,AO,1595823570
321,Biarritz,43.48,-1.56,64.4,93,0,3.36,FR,1595823570
322,Sioux Lookout,50.1,-91.92,69.8,56,20,9.17,CA,1595823570
323,Ngunguru,-35.62,174.5,57.99,21,38,4.0,NZ,1595823570
324,Iqaluit,63.75,-68.51,44.6,93,40,2.24,CA,1595823571
325,Korla,41.76,86.15,90.79,20,0,7.65,CN,1595823571
326,Qandala,11.47,49.87,87.58,56,0,2.64,SO,1595823427
327,Iwanai,42.97,140.51,75.63,67,100,1.72,JP,1595823571
328,Camocim,-2.9,-40.84,74.68,76,24,12.08,BR,1595823464
329,Neiafu,-18.65,-173.98,75.2,83,75,11.41,TO,1595823571
330,Bloemfontein,-29.12,26.21,28.4,86,1,5.82,ZA,1595823407
331,Batemans Bay,-35.72,150.18,54.0,100,100,5.01,AU,1595823521
332,Coahuayana Viejo,18.73,-103.68,78.93,81,100,1.72,MX,1595823572
333,Quryq,43.2,51.65,89.11,20,0,17.47,KZ,1595823572
334,Gisborne,-38.65,178.0,55.0,63,11,4.0,NZ,1595823572
335,Honningsvåg,70.98,25.97,62.6,67,1,9.17,NO,1595823573
336,Vardø,70.37,31.11,62.6,72,33,6.93,NO,1595823573
337,Lata,40.16,-8.33,62.01,89,0,2.71,PT,1595823573
338,Inírida,3.87,-67.92,73.26,97,100,2.39,CO,1595823573
339,Saint-Augustin,51.23,-58.65,52.86,94,20,4.47,CA,1595823573
340,Caravelas,-17.71,-39.25,70.79,83,30,5.35,BR,1595823285
341,Alofi,-19.06,-169.92,73.4,88,37,9.17,NU,1595823574
342,Hamilton,39.18,-84.53,81.0,83,1,5.19,US,1595823530
343,Mendoza,-32.89,-68.83,50.0,45,7,6.93,AR,1595823517
344,Torata,-17.08,-70.84,48.24,42,0,1.59,PE,1595823574
345,Malakal,9.53,31.66,70.79,96,75,3.71,SS,1595823575
346,Laredo,27.51,-99.51,73.4,100,90,4.7,US,1595823575
347,Trairi,-3.28,-39.27,76.46,81,99,10.98,BR,1595823575
348,Cayenne,4.93,-52.33,75.2,100,30,2.24,GF,1595823575
349,Waingapu,-9.66,120.26,83.52,57,93,18.39,ID,1595823575
350,Zabaykal'sk,49.63,117.32,84.63,40,21,18.34,RU,1595823576
351,Lucapa,-8.42,20.74,59.58,42,47,4.18,AO,1595823576
352,Tsimmerbude,54.67,20.13,62.6,100,75,4.47,RU,1595823576
353,Ürümqi,43.8,87.6,86.0,33,91,6.71,CN,1595823576
354,Santa Maria,-29.68,-53.81,51.21,85,12,3.42,BR,1595823576
355,Vostok,46.49,135.88,80.31,48,30,4.23,RU,1595823487
356,Altamira,-3.2,-52.21,77.29,59,58,2.44,BR,1595823577
357,Kawambwa,-9.79,29.08,49.91,90,58,5.03,ZM,1595823577
358,Tuatapere,-46.13,167.68,53.13,65,0,3.49,NZ,1595823577
359,Zainsk,55.32,52.07,64.4,72,6,6.71,RU,1595823577
360,Sakaiminato,35.55,133.23,84.2,70,75,10.29,JP,1595823578
361,Alaca,40.17,34.84,70.07,51,0,2.93,TR,1595823578
362,Codrington,-38.27,141.97,53.47,72,54,19.37,AU,1595823578
363,Soyo,-6.13,12.37,70.7,88,14,5.7,AO,1595823280
364,Constitución,-35.33,-72.42,49.87,80,100,7.61,CL,1595823578
365,‘Āhuimanu,21.44,-157.84,80.6,74,90,11.41,US,1595823578
366,Naze,28.37,129.48,89.6,75,75,14.99,JP,1595823579
367,Alyangula,-13.85,136.42,80.6,39,89,12.75,AU,1595823579
368,Iracoubo,5.48,-53.2,78.12,87,38,7.85,GF,1595823579
369,Arman',59.7,150.17,63.57,63,0,9.35,RU,1595823579
370,Shache,38.42,77.24,91.29,16,97,5.17,CN,1595823579
371,Huarmey,-10.07,-78.15,59.81,86,11,7.45,PE,1595823580
372,Calabozo,8.92,-67.43,73.94,96,97,2.39,VE,1595823580
373,Pitimbu,-7.47,-34.81,74.91,79,96,15.61,BR,1595823534
374,Aksha,50.28,113.29,79.7,46,98,12.41,RU,1595823580
375,Lethem,3.38,-59.8,75.13,85,21,3.38,GY,1595823580
376,Sivaki,52.63,126.75,76.01,76,100,7.58,RU,1595823581
377,Corrales,35.24,-106.61,69.01,88,75,12.75,US,1595823581
378,Lamar,33.67,-95.58,80.01,78,1,5.82,US,1595823581
379,Kano,12.0,8.52,77.0,88,20,10.29,NG,1595823581
380,Russell,32.35,-85.2,77.0,94,1,0.29,US,1595823582
381,Changli,39.7,119.15,82.0,21,70,2.24,CN,1595823582
382,Egvekinot,66.32,-179.17,67.01,63,42,7.4,RU,1595823582
383,Razdolinsk,58.42,94.67,67.12,63,99,3.15,RU,1595823582
384,Mosal'sk,54.49,34.98,61.66,94,92,4.63,RU,1595823583
385,Mildura,-34.2,142.15,60.8,59,75,14.99,AU,1595823583
386,Wichita Falls,33.91,-98.49,82.99,65,1,5.82,US,1595823459
387,Zyryanskoye,56.83,86.63,65.97,61,29,4.41,RU,1595823583
388,Te Anau,-45.42,167.72,48.72,74,2,0.87,NZ,1595823583
389,Santa Cruz de la Sierra,-17.8,-63.17,59.0,87,2,5.82,BO,1595823392
390,High Level,58.52,-117.14,71.6,64,20,4.7,CA,1595823584
391,Guangzhou,23.12,113.25,95.0,47,40,6.71,CN,1595823446
392,Paramonga,-10.67,-77.83,59.58,86,37,6.44,PE,1595823584
393,Ibrā’,22.69,58.53,84.29,62,99,5.21,OM,1595823584
394,The Valley,18.22,-63.06,82.4,74,20,10.29,AI,1595823460
395,Muros,42.78,-9.06,57.99,82,0,2.37,ES,1595823585
396,Alexandria,31.22,29.96,77.0,83,0,9.17,EG,1595823585
397,Panama City,8.99,-79.52,78.8,94,90,4.7,PA,1595823345
398,College,64.86,-147.8,68.0,49,75,9.17,US,1595823291
399,San Felipe,10.34,-68.74,72.45,91,98,0.83,VE,1595823585
400,Hatillo,18.49,-66.83,80.01,85,75,1.99,PR,1595823585
401,Binga,-17.62,27.34,51.75,60,0,3.98,ZW,1595823586
402,Progreso,21.28,-89.67,79.0,88,40,11.41,MX,1595823586
403,Morant Bay,17.88,-76.41,86.0,70,20,11.41,JM,1595823586
404,Mitchell,43.71,-98.03,69.8,68,1,3.36,US,1595823586
405,Mindelo,16.89,-24.98,75.2,78,20,4.7,CV,1595823586
406,Saint George,37.1,-113.58,93.99,13,1,6.93,US,1595823562
407,Rabo de Peixe,37.8,-25.58,69.8,94,75,4.7,PT,1595823587
408,Benīganj,27.28,80.45,93.9,47,34,9.71,IN,1595823587
409,Rehoboth,-23.32,17.08,38.68,73,0,0.81,NA,1595823587
410,Hambantota,6.12,81.12,84.2,74,75,9.17,LK,1595823587
411,Clearlake,38.96,-122.63,81.0,32,1,1.99,US,1595823587
412,Borger,52.92,6.79,55.99,84,96,1.99,NL,1595823588
413,Khammam,17.25,80.15,86.88,67,74,9.89,IN,1595823588
414,Raudeberg,61.99,5.14,59.0,82,75,16.11,NO,1595823588
415,Hasaki,35.73,140.83,86.0,70,75,13.87,JP,1595823480
416,Conde,-7.26,-34.91,71.46,87,93,12.55,BR,1595823588
417,Sorong,-0.88,131.25,81.88,84,83,10.76,ID,1595823585
418,Bridlington,54.08,-0.19,57.99,93,98,6.93,GB,1595823589
419,Havøysund,71.0,24.66,62.6,67,27,9.17,NO,1595823589
420,Batagay-Alyta,67.8,130.41,63.75,34,75,13.27,RU,1595823374
421,Babanka,48.71,30.45,66.07,82,91,8.23,UA,1595823589
422,Māngrol,21.12,70.12,84.99,75,11,11.5,IN,1595823589
423,Damietta,31.42,31.81,78.8,78,40,6.93,EG,1595823548
424,Boguchany,58.38,97.45,59.58,86,100,4.21,RU,1595823590
425,Inhambane,-23.86,35.38,62.47,75,19,9.04,MZ,1595823590
426,Tezu,27.92,96.17,92.12,50,16,3.02,IN,1595823590
427,Bonavista,48.65,-53.11,57.9,96,100,15.37,CA,1595823590
428,Sungai Penuh,-2.08,101.38,80.65,44,46,2.53,ID,1595823591
429,Ust-Kuyga,70.02,135.6,48.43,77,100,9.4,RU,1595823591
430,Mayo,38.89,-76.51,82.4,69,1,5.35,US,1595823591
431,Puttūr,12.77,75.22,80.6,88,40,3.36,IN,1595823591
432,Ambunti,-4.24,142.84,90.61,54,57,4.34,PG,1595823591
433,Novo Aripuanã,-5.12,-60.38,74.91,64,1,0.34,BR,1595823592
434,Dunedin,-45.87,170.5,52.0,70,0,4.0,NZ,1595823529
435,Yarkovo,57.4,67.08,64.53,65,67,4.21,RU,1595823592
436,Jiayuguan City,39.82,98.3,82.27,16,0,5.14,CN,1595823592
437,Taksimo,56.34,114.88,70.84,77,100,4.59,RU,1595823593
438,Tabas,33.6,56.92,96.8,16,0,2.24,IR,1595823593
439,Talnakh,69.49,88.4,59.0,47,40,8.95,RU,1595823593
440,Kapit,2.02,112.93,87.3,71,29,0.51,MY,1595823593
441,Turtas,58.94,69.13,67.24,61,1,4.52,RU,1595823594
442,Don Luan,11.53,106.92,87.24,67,31,3.29,VN,1595823543
443,Orocué,4.79,-71.34,73.22,89,89,0.98,CO,1595823594
444,Nālūt,30.33,10.85,74.57,38,0,9.6,LY,1595823594
445,Cabatuan,10.88,122.49,88.52,63,48,2.13,PH,1595823595
446,Barra,-11.09,-43.14,69.28,74,1,9.01,BR,1595823595
447,Iskateley,67.68,53.15,62.98,56,14,8.14,RU,1595823595
448,Rock Sound,24.9,-76.2,81.97,84,0,13.22,BS,1595823595
449,Tairua,-37.02,175.85,55.99,63,23,1.01,NZ,1595823596
450,Ambon City,-3.7,128.18,86.0,70,40,5.82,ID,1595823596
451,Lerwick,60.15,-1.15,51.8,87,1,9.17,GB,1595823596
452,Bud,39.45,-86.18,80.01,89,0,6.51,US,1595823597
453,Arlit,18.74,7.39,89.49,12,72,10.42,NE,1595823597
454,Kushima,31.46,131.23,80.6,83,75,8.05,JP,1595823597
455,Gračac,44.3,15.85,66.0,93,2,2.24,HR,1595823598
456,Palmer,42.16,-72.33,75.2,69,1,3.36,US,1595823598
457,Kumul,42.8,93.45,93.25,13,0,14.74,CN,1595823598
458,Karachi,24.91,67.08,87.8,74,40,13.29,PK,1595823308
459,Pathein,16.78,94.73,89.37,60,100,4.74,MM,1595823598
460,Launceston,-41.45,147.17,55.0,66,100,19.46,AU,1595823599
461,Tautira,-17.73,-149.15,78.8,78,75,17.22,PF,1595823599
462,Geraldton,-28.77,114.6,75.2,22,0,16.11,AU,1595823599
463,Lagoa,39.05,-27.98,72.28,93,0,6.91,PT,1595823600
464,Opuwo,-18.06,13.84,51.37,46,0,7.38,NA,1595823600
465,Halifax,44.65,-63.57,66.0,84,92,6.73,CA,1595823541
466,North Bend,43.41,-124.22,64.0,93,1,5.82,US,1595823365
467,Vorozhba,51.17,34.22,63.25,78,68,7.45,UA,1595823601
468,Arrondissement d'Ajaccio,42.0,8.92,66.2,77,0,8.05,FR,1595823601
469,Corrientes,-27.48,-58.83,60.01,62,55,10.29,AR,1595823411
470,Bacolod City,10.67,122.95,85.23,72,57,2.62,PH,1595823601
471,Manaure,11.78,-72.44,81.9,74,98,11.79,CO,1595823601
472,Adré,13.47,22.2,72.07,85,92,15.99,TD,1595823602
473,Bulatukan,6.9,125.16,86.0,70,75,6.93,PH,1595823602
474,Glace Bay,46.2,-59.96,63.0,100,90,5.82,CA,1595823602
475,Pangody,65.85,74.49,55.58,57,100,14.36,RU,1595823602
476,Manggar,-2.88,108.27,83.71,69,81,13.94,ID,1595823603
477,Banganapalle,15.32,78.23,83.62,61,84,13.35,IN,1595823603
478,Dingle,11.0,122.67,88.79,64,47,2.73,PH,1595823603
479,Kikwit,-5.04,18.82,72.46,41,95,1.12,CD,1595823603
480,Olavarría,-36.89,-60.32,42.78,69,79,7.81,AR,1595823604
481,Salto,-31.38,-57.97,45.0,88,5,3.71,UY,1595823604
482,La Ronge,55.1,-105.28,66.2,63,40,8.05,CA,1595823449
483,São Filipe,14.9,-24.5,75.0,85,71,11.99,CV,1595823604
484,Deniliquin,-35.53,144.97,57.99,63,100,11.99,AU,1595823541
485,Būkān,36.52,46.21,86.41,13,0,4.27,IR,1595823605
486,Makakilo City,21.35,-158.09,82.4,65,90,14.99,US,1595823605
487,Adeje,28.12,-16.73,73.0,77,2,17.22,ES,1595823605
488,Henties Bay,-22.12,14.28,66.16,40,0,6.22,NA,1595823605
489,Terney,45.05,136.61,71.2,66,19,4.72,RU,1595823606
490,Altay,47.87,88.12,80.47,28,18,6.22,CN,1595823606
491,Sittwe,20.15,92.9,86.31,74,100,7.96,MM,1595823606
492,Oistins,13.07,-59.53,82.17,80,53,16.33,BB,1595823606
493,Fairbanks,64.84,-147.72,68.0,48,75,10.29,US,1595823556
494,La Orilla,17.98,-102.23,78.57,81,38,2.95,MX,1595823607
495,Wanaka,-44.7,169.15,44.89,65,0,0.56,NZ,1595823607
496,Bucerías,20.75,-105.33,82.4,83,75,0.29,MX,1595823608
497,Berlevåg,70.86,29.09,68.0,56,1,3.36,NO,1595823608
498,Luanda,-8.84,13.23,71.6,88,75,4.7,AO,1595823608
499,Batagay,67.63,134.63,68.56,39,42,10.49,RU,1595823608
500,Yashkul',46.17,45.34,80.31,25,56,10.83,RU,1595823608
501,Champerico,14.3,-91.92,80.46,80,100,7.2,GT,1595823609
502,Lüderitz,-26.65,15.16,57.2,71,0,12.75,NA,1595823609
503,Hualmay,-11.1,-77.61,59.09,85,23,7.0,PE,1595823609
504,São Geraldo do Araguaia,-6.4,-48.55,71.28,46,1,2.57,BR,1595823609
505,Ben Gardane,33.14,11.22,74.28,63,0,2.64,TN,1595823609
506,Linxia Chengguanzhen,35.6,103.21,79.02,34,83,4.34,CN,1595823610
507,Lubango,-14.92,13.49,51.53,52,0,3.87,AO,1595823276
508,Butte,39.65,-121.57,93.2,30,1,6.93,US,1595823276
509,Znamenskoye,57.13,73.83,67.1,60,56,4.38,RU,1595823543
510,Kokkola,63.84,23.13,59.0,87,35,4.7,FI,1595823610
511,Sawtell,-30.38,153.1,73.0,43,32,18.34,AU,1595823611
512,Hede,33.77,120.25,70.83,94,100,7.18,CN,1595823611
513,Salaberry-de-Valleyfield,45.25,-74.13,75.99,87,100,13.96,CA,1595823611
514,Khatassy,61.9,129.64,78.8,41,100,4.47,RU,1595823611
515,Olafsvik,64.89,-23.71,47.07,73,21,8.55,IS,1595823612
516,Gouré,13.98,10.27,71.01,87,100,4.0,NE,1595823612
517,Banjar,-8.19,114.97,82.4,78,40,19.46,ID,1595823612
518,Kouqian,43.64,126.46,85.17,55,9,3.0,CN,1595823613
519,Gorontalo,0.54,123.06,86.18,60,91,9.31,ID,1595823613
520,Sol'vychegodsk,61.33,46.92,65.03,77,79,2.37,RU,1595823613
521,Arroyos y Esteros,-25.07,-57.1,59.0,67,84,4.07,PY,1595823614
522,Blackwater,-23.58,148.88,69.48,31,31,10.2,AU,1595823614
523,Kaniama,-7.57,24.18,58.48,45,26,5.91,CD,1595823614
524,Panna,24.72,80.2,89.6,70,40,3.36,IN,1595823614
525,Emba,48.83,58.14,72.75,41,0,10.49,KZ,1595823614
526,Matara,5.95,80.54,82.27,75,100,13.51,LK,1595823615
527,Kundiawa,-6.02,144.97,73.58,70,51,1.41,PG,1595823615
528,Harper,4.38,-7.72,74.1,84,96,8.72,LR,1595823615
529,Christchurch,-43.53,172.63,51.01,81,0,14.99,NZ,1595823607
530,Shahrud,36.42,54.98,83.59,31,0,1.12,IR,1595823616
531,Billings Metropolitan Area,45.78,-108.5,77.0,36,1,5.82,US,1595823017
532,Los Llanos de Aridane,28.66,-17.92,71.6,73,90,12.75,ES,1595823376
533,Cervo,43.67,-7.41,62.01,89,0,5.01,ES,1595823616
534,Ust-Tsilma,65.44,52.15,70.03,53,48,3.98,RU,1595823616
535,Yanam,16.73,82.22,87.8,70,20,10.29,IN,1595823617
536,Albanel,48.88,-72.45,69.8,100,75,6.93,CA,1595823617
537,Buarcos,40.17,-8.88,62.01,100,0,2.24,PT,1595823617
538,Forsytheganj,52.63,29.73,62.69,95,90,4.61,BY,1595823617
539,Abatskiy,56.29,70.46,64.87,64,36,4.74,RU,1595823618
540,Behshahr,36.69,53.55,82.4,78,75,6.93,IR,1595823618
541,Thunder Bay,48.4,-89.32,71.6,56,5,10.29,CA,1595823618
542,Beringovskiy,63.05,179.32,71.91,53,91,8.48,RU,1595823618
543,Camaná,-16.62,-72.71,58.21,77,11,6.78,PE,1595823619
544,Wamba,8.93,8.6,71.28,97,100,0.94,NG,1595823619
545,Bubaque,11.28,-15.83,79.07,85,97,17.4,GW,1595823619
546,Anchorage,61.22,-149.9,64.99,55,1,8.05,US,1595823283
547,Samfya,-11.36,29.56,50.09,80,50,7.16,ZM,1595823619
548,Gallup,35.53,-108.74,62.6,82,1,7.94,US,1595823549
549,Ilulissat,69.22,-51.1,44.6,93,100,6.93,GL,1595823620
550,Khani,41.96,42.96,75.2,94,75,4.7,GE,1595823620
551,Bitaogan,6.77,126.08,86.0,70,75,6.93,PH,1595823620
552,Lagdo,9.05,13.73,70.93,98,100,3.51,CM,1595823621
553,Selikhino,50.37,137.5,71.29,75,87,5.48,RU,1595823621
554,Mocuba,-16.84,36.99,59.58,94,32,3.42,MZ,1595823621
555,Bengkulu,-3.8,102.27,84.72,61,2,7.85,ID,1595823621
556,Accra,5.56,-0.2,75.2,88,20,10.29,GH,1595823333
557,Hagi,34.4,131.42,78.8,94,75,4.7,JP,1595823621
558,Corrente,-3.74,-43.34,68.99,82,10,2.8,BR,1595823622
559,Biograd na Moru,43.94,15.45,66.0,93,9,2.24,HR,1595823622
560,Brigantine,39.41,-74.36,82.4,69,1,5.82,US,1595823622
